OFFER_ID,OFFER_DESC,OFFER_TYPE,PRICE,VALIDITY_UNIT,VALIDITY
60256,.MAXIVOICE 9 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60256,.MAXIVOICE 9 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60256,.MAXIVOICE 9 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60257,.MAXIVOICE 30 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60257,.MAXIVOICE 30 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60257,.MAXIVOICE 30 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60257,.MAXIVOICE 30 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60258,.MAXIVOICE 10 mins vers MTN a 238F,VOICE_BUNDLE,238,LS_VOICE_01,DAY(S)
60258,.MAXIVOICE 10 mins vers MTN a 238F,VOICE_BUNDLE,238,LS_VOICE_01,DAY(S)
60258,.MAXIVOICE 10 mins vers MTN a 238F,VOICE_BUNDLE,238,LS_VOICE_01,DAY(S)
60258,.MAXIVOICE 10 mins vers MTN a 238F,VOICE_BUNDLE,238,LS_VOICE_01,DAY(S)
60259,.MAXIVOICE 35 mins vers MTN a 650F,VOICE_BUNDLE,650,LS_VOICE_01,DAY(S)
60259,.MAXIVOICE 35 mins vers MTN a 650F,VOICE_BUNDLE,650,LS_VOICE_01,DAY(S)
60259,.MAXIVOICE 35 mins vers MTN a 650F,VOICE_BUNDLE,650,LS_VOICE_01,DAY(S)
60259,.MAXIVOICE 35 mins vers MTN a 650F,VOICE_BUNDLE,650,LS_VOICE_01,DAY(S)
60260,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60260,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60260,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60260,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60261,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60261,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60261,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60261,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60262,.MAXIVOICE 20 mins vers MTN a 458F,VOICE_BUNDLE,458,LS_VOICE_01,DAY(S)
60262,.MAXIVOICE 20 mins vers MTN a 458F,VOICE_BUNDLE,458,LS_VOICE_01,DAY(S)
60262,.MAXIVOICE 20 mins vers MTN a 458F,VOICE_BUNDLE,458,LS_VOICE_01,DAY(S)
60262,.MAXIVOICE 20 mins vers MTN a 458F,VOICE_BUNDLE,458,LS_VOICE_01,DAY(S)
60263,.MAXIVOICE 70 mins vers MTN a 1250F,VOICE_BUNDLE,1250,LS_VOICE_01,DAY(S)
60263,.MAXIVOICE 70 mins vers MTN a 1250F,VOICE_BUNDLE,1250,LS_VOICE_01,DAY(S)
60263,.MAXIVOICE 70 mins vers MTN a 1250F,VOICE_BUNDLE,1250,LS_VOICE_01,DAY(S)
60263,.MAXIVOICE 70 mins vers MTN a 1250F,VOICE_BUNDLE,1250,LS_VOICE_01,DAY(S)
613,TAG LAC 613,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
613,TAG LAC 613,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
613,TAG LAC 613,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
613,TAG LAC 613,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
614,TAG LAC 614,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
614,TAG LAC 614,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
614,TAG LAC 614,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
614,TAG LAC 614,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
615,TAG LAC 615,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
615,TAG LAC 615,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
615,TAG LAC 615,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
615,TAG LAC 615,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
616,TAG LAC 616,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
616,TAG LAC 616,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
616,TAG LAC 616,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
616,TAG LAC 616,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
617,TAG LAC 617,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
617,TAG LAC 617,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
617,TAG LAC 617,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
617,TAG LAC 617,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
618,TAG LAC 618,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
618,TAG LAC 618,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
618,TAG LAC 618,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
618,TAG LAC 618,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
619,TAG LAC 619,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
619,TAG LAC 619,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
619,TAG LAC 619,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
619,TAG LAC 619,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
620,TAG LAC 620,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
620,TAG LAC 620,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
620,TAG LAC 620,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
620,TAG LAC 620,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
621,TAG LAC 621,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
621,TAG LAC 621,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
621,TAG LAC 621,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
621,TAG LAC 621,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
622,TAG LAC 622,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
622,TAG LAC 622,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
622,TAG LAC 622,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
622,TAG LAC 622,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
623,TAG LAC 623,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
623,TAG LAC 623,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
623,TAG LAC 623,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
623,TAG LAC 623,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
624,TAG LAC 624,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
624,TAG LAC 624,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
624,TAG LAC 624,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
624,TAG LAC 624,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
625,TAG LAC 625,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
